,,,,,,,,,,,,,
,United Arab Emirates (ADGM),,Current as at 22 March 2026,Enforcement webpage:,,https://www.adgm.com/operating-in-adgm/additional-obligations-of-financial-services-entities/enforcement/regulatory-actions,,,,,,,
,,,,,,,,,,,,,
#,Jurisdiction,Regulator Name,Subject Name (Case),Sector,Date of Action ,Action Type,Field,AML Violation Type,Fine Amount ,Currency,Enforcement Notice URL ,Reference No.,Pending Determination
1,United Arab Emirates,ADGM FSRA,Reed Smith LLP,DNFBP - Legal Services,28-Mar-21,Financial Penalty,AML,AML Annual Return,"5,000",USD,https://assets.adgm.com/download/assets/adgm+fsra+regulatory+actions+Reed+Smith+20210328.pdf/16a02e8a774b11ef88eeea4377545edc,n/a,No
2,United Arab Emirates,ADGM FSRA,Ocorian Corporate Services (ME) Limited,DNFBP - TCSP,4-Apr-21,Financial Penalty,AML,AML Annual Return,"5,000",USD,https://assets.adgm.com/download/assets/adgm+fsra+regulatory+actions+Ocorian+Corporate+Services+20210404.pdf/ec5c19e0774a11efb246d66362ebafcf,n/a,No
3,United Arab Emirates,ADGM FSRA,Middle East Trusted Advisors Ltd,DNFBP - Legal Services,6-Apr-21,Financial Penalty,AML,AML Annual Return,"5,000",USD,https://assets.adgm.com/download/assets/adgm+fsra+regulatory+actions+Middle+East+Trusted+Advisors+Ltd+20210406.pdf/411f0236774a11efb4c19a916bf4bc3c,n/a,No
4,United Arab Emirates,ADGM FSRA,Outer Temple Middle East Limited,DNFBP - Legal Services,25-Apr-21,Financial Penalty,AML,AML Annual Return,"5,000",USD,https://assets.adgm.com/download/assets/adgm+fsra+regulatory+actions+Outer+Temple+Middle+East+Limited+20210425.pdf/9fc40512774911ef8ca2ea4377545edc,n/a,No
5,United Arab Emirates,ADGM FSRA,World Credit Solutions,DNFBP - TCSP,4-May-21,Financial Penalty,AML,AML Annual Return,"5,000",USD,https://assets.adgm.com/download/assets/adgm+fsra+regulatory+actions+World+Credit+Solutions+Ltd+20210504.pdf/efc98394774811efa2a852a73242af86,n/a,No
6,United Arab Emirates,ADGM FSRA,Crowe Mak LLP,DNFBP - Auditor,6-May-21,Financial Penalty,AML,AML Annual Return,"5,000",USD,https://assets.adgm.com/download/assets/adgm+fsra+regulatory+actions+Crowe+Mak+LLP+20210506.pdf/fce8a632775111efb8383a0f53027693,n/a,No
7,United Arab Emirates,ADGM FSRA,Emirates Advocates LLP,DNFBP - Legal Services,10-May-21,Financial Penalty,AML,AML Annual Return,"10,000",USD,https://assets.adgm.com/download/assets/adgm+fsra+regulatory+actions+Emirates+Advocates+LLP+20210510.pdf/ffcc0236774711ef9d07be4c1a7a8cd7,n/a,No
8,United Arab Emirates,ADGM FSRA,AAF Mena Ltd,DNFBP - TCSP,24-May-21,Financial Penalty,AML,AML Annual Return,"5,000",USD,https://assets.adgm.com/download/assets/adgm+fsra+regulatory+actions+AAF+MENA+Ltd+20210524.pdf/a851c748774711ef9f7fd66362ebafcf ,n/a,No
9,United Arab Emirates,ADGM FSRA,Wise Nuqud Ltd.,Money Services Business,25-Aug-22,Financial Penalty,AML,"AML systems and controls
Enhanced Due Diligence (EDD)
Customer Due Diligence (CDD)","360,000",USD,https://assets.adgm.com/download/assets/adgm+fsra+regulatory+actions+Wise+Publication+20220825.pdf/65ecd65ce2ce11efb8196aefec9c4429,n/a,No
10,United Arab Emirates,ADGM FSRA,Equiom Corporate Services (Middle East) Ltd,DNFBP - TCSP,20-Jul-23,Financial Penalty,AML,"AML systems and controls
Enhanced Due Diligence (EDD)
Customer Due Diligence (CDD)","72,000",USD,https://assets.adgm.com/download/assets/20230720+Final+Notice+Equiom+Corporate+Services+Middle+East+Ltd+Redacted.pdf/08c90cbc774311efb682f6cee18bbfd0,n/a,No
