,,,,,,,,,,,,,,
,Australia,,Current as at 22 March 2026,Enforcement webpage:,,https://www.austrac.gov.au/lists-enforcement-actions-taken,,,,,,,,
,,,,,,https://www.austrac.gov.au/list-written-notices-appoint-external-auditor,,,,,,,,
,,,,,,,,,,,,,,
#,Jurisdiction,Regulator Name,Subject Name (Case),Sector ,Date of Action ,Action Type,Field ,AML Violation Type(s),Fine Amount ,Currency,Enforcement Notice URL ,Reference No.,Pending Determination,Failed Extraction
1,Australia,AUSTRAC,"Mega International Commercial Bank Co., Ltd",Financial Services,30-Jun-09,Enforceable Undertaking,AML,"AML program
Reporting obligations",n/a,n/a,https://www.austrac.gov.au/sites/default/files/2019-06/eu_megabank.pdf,n/a,No,Yes
2,Australia,AUSTRAC,Barclays Bank PLC,Financial Services,01-Jul-09,Enforceable Undertaking,AML,"Reporting obligations
AML program",n/a,n/a,https://www.austrac.gov.au/sites/default/files/2019-06/eu_barclays.pdf,9975220_2,No,Yes
3,Australia,AUSTRAC,Little Persia,Remittance Service Provider,04-Nov-09,Remedial Direction,AML,AML program,n/a,n/a,https://www.austrac.gov.au/sites/default/files/2019-06/remedial_directions.pdf,247907,No,
4,Australia,AUSTRAC,PayPal Australia Pty Ltd,Financial Services,23-Nov-09,Enforceable Undertaking,AML,"AML program
Reporting obligations",n/a,n/a,https://www.austrac.gov.au/sites/default/files/2019-06/eu_paypal.pdf,5957708.3,No,
5,Australia,AUSTRAC,Eastern & Allied Pty Ltd trading as Hai Ha Money Transfer,Remittance Service Provider,08-Dec-09,Enforceable Undertaking,AML,"AML program
Employee Due Diligence",n/a,n/a,https://www.austrac.gov.au/sites/default/files/2019-06/eu_easternallied.pdf,301690,No,
6,Australia,AUSTRAC,George Thomas Hotels Pty Ltd,Gambling,02-Jun-10,Skilled Person Review (Compliance Audit),AML,"Customer Due Diligence (CDD)
Ongoing Customer Due Diligence 
Transaction Monitoring
AML program",n/a,n/a,https://www.austrac.gov.au/sites/default/files/2019-06/notice_george1.pdf,349464,No,
7,Australia,AUSTRAC,Argos Investments Pty Ltd,Gambling,02-Jun-10,Skilled Person Review (Compliance Audit),AML,"Customer Due Diligence (CDD)
Ongoing Customer Due Diligence 
Transaction Monitoring
AML program",n/a,n/a,https://www.austrac.gov.au/sites/default/files/2019-06/notice_argos.pdf,349457,No,
8,Australia,AUSTRAC,George Thomas Hotels (Bradbury) Pty Ltd,Gambling,02-Jun-10,Skilled Person Review (Compliance Audit),AML,"Customer Due Diligence (CDD)
Ongoing Customer Due Diligence 
Transaction Monitoring
AML program",n/a,n/a,https://www.austrac.gov.au/sites/default/files/2019-06/notice_bradbury.pdf,349471,No,
9,Australia,AUSTRAC,George Thomas Hotels (Campsie) Pty Ltd.,Gambling,02-Jun-10,Skilled Person Review (Compliance Audit),AML,"Customer Due Diligence (CDD)
Ongoing Customer Due Diligence 
Transaction Monitoring
AML program",n/a,n/a,https://www.austrac.gov.au/sites/default/files/2019-06/notice_campsie.pdf,349474,No,
10,Australia,AUSTRAC,George Thomas Hotels (Hurstville) Pty Ltd.,Gambling,02-Jun-10,Skilled Person Review (Compliance Audit),AML,"Customer Due Diligence (CDD)
Ongoing Customer Due Diligence 
Transaction Monitoring
AML program",n/a,n/a,https://www.austrac.gov.au/sites/default/files/2019-06/notice_hurstville.pdf,349479,No,
11,Australia,AUSTRAC,George Thomas Hotels (Madison) Pty Ltd.,Gambling,02-Jun-10,Skilled Person Review (Compliance Audit),AML,"Customer Due Diligence (CDD)
Ongoing Customer Due Diligence 
Transaction Monitoring
AML program",n/a,n/a,https://www.austrac.gov.au/sites/default/files/2019-06/notice_madison.pdf,349481,No,
12,Australia,AUSTRAC,George Thomas Hotels (QLD) Pty Ltd.,Gambling,02-Jun-10,Skilled Person Review (Compliance Audit),AML,"Customer Due Diligence (CDD)
Ongoing Customer Due Diligence 
Transaction Monitoring
AML program",n/a,n/a,https://www.austrac.gov.au/sites/default/files/2019-06/notice_qld.pdf,349482,No,
13,Australia,AUSTRAC,George Thomas Hotels Pty. Limited,Gambling,09-Dec-10,Enforceable Undertaking,AML,AML program,n/a,n/a,https://www.austrac.gov.au/sites/default/files/2019-06/eu_thg.pdf,413992,No,
14,Australia,AUSTRAC,Argos Investments Pty Ltd,Gambling,09-Dec-10,Enforceable Undertaking,AML,,n/a,n/a,https://www.austrac.gov.au/sites/default/files/2019-06/eu_argos.pdf,404373,No,
15,Australia,AUSTRAC,George Thomas Hotels (Bradbury) Pty. Limited,Gambling,09-Dec-10,Enforceable Undertaking,AML,AML program,n/a,n/a,https://www.austrac.gov.au/sites/default/files/2019-06/eu_thg_bradbury.pdf,414041,No,
16,Australia,AUSTRAC,George Thomas Hotels (Campsle) Pty. Limited,Gambling,09-Dec-10,Enforceable Undertaking,AML,AML program,n/a,n/a,https://www.austrac.gov.au/sites/default/files/2019-06/eu_thg_campsie_0.pdf,414041,No,
17,Australia,AUSTRAC,George Thomas Hotels (Hurstville) Pty. Limited,Gambling,09-Dec-10,Enforceable Undertaking,AML,AML program,n/a,n/a,https://www.austrac.gov.au/sites/default/files/2019-06/eu_thg_hurstville.pdf,414052,No,
18,Australia,AUSTRAC,George Thomas Hotels (Madison) Pty. Limited,Gambling,09-Dec-10,Enforceable Undertaking,AML,AML program,n/a,n/a,https://www.austrac.gov.au/sites/default/files/2019-06/eu_thg_madison.pdf,414095,No,
19,Australia,AUSTRAC,George Thomas Hotels (QLD) Pty. Limited,Gambling,09-Dec-10,Enforceable Undertaking,AML,AML program,n/a,n/a,https://www.austrac.gov.au/sites/default/files/2019-06/eu_thg_qld.pdf,414052,No,
20,Australia,AUSTRAC,Allsafe International Pty Ltd,Reporting Entity,09-Feb-11,Remedial Direction,AML,"AML program
International Funds Transfer Reporting",n/a,n/a,https://www.austrac.gov.au/sites/default/files/2019-06/rd_allsafe_feb2011.pdf,247907,No,
21,Australia,AUSTRAC,Acacia Ridge Hotel,Gambling,09-Aug-11,"Remedial Direction
Skilled Person Review",AML,AML program,n/a,n/a,https://www.austrac.gov.au/sites/default/files/2019-06/acacia_ridge_hotel.pdf,463944,No,
22,Australia,AUSTRAC,Mojgan Zojaji T/A Mega Trade Interchange,Remittance Service Provider,02-Sep-11,Enforceable Undertaking,AML,AML program,n/a,n/a,https://www.austrac.gov.au/sites/default/files/2019-06/eu_mega_trade.pdf,51195,No,
23,Australia,AUSTRAC,A2Z Communication Pty Limited,Reporting Entity,26-Jun-12,Skilled Person Review (Compliance Audit),AML,"Enhanced Customer Due Diligence (EDD)
Onging Cusomer Due Diligence
AML program",n/a,n/a,https://www.austrac.gov.au/sites/default/files/2019-06/notice_a2z_communication_pty_ltd.pdf,600314,No,
24,Australia,AUSTRAC,Your Express Service (YES) Pty Ltd,Remittance Service Provider,12-Jul-12,Enforceable Undertaking,AML,"AML program
Funds Transfer Reporting",n/a,n/a,https://www.austrac.gov.au/sites/default/files/2019-06/eu_your_express_service.pdf,606016,No,
25,Australia,AUSTRAC,Ria Financial Services Australia Pty Ltd,Remittance Service Provider,19-Nov-13,Financial Penalty,AML,Remittance Service Provider Registration ,"225,600",AUD,https://www.austrac.gov.au/sites/default/files/2019-06/infringement_notice_ria.pdf,n/a,No,
26,Australia,AUSTRAC,Fast Exchange Pty Ltd,Remittance Service Provider,14-Apr-14,Remittance service provider registration cancelled,AML,Not disclosed,n/a,n/a,https://www.austrac.gov.au/remittance-sector-register-and-remittance-registration-actions,n/a,No,
27,Australia,AUSTRAC,Custom House Currency Exchange (Australia) Pty Ltd,Currency Exchange ,06-Jun-14,Enforceable Undertaking,AML,,n/a,n/a,https://www.austrac.gov.au/sites/default/files/2019-06/eu_custom_house.pdf,n/a,No,
28,Australia,AUSTRAC,KMT Sydney Pty Ltd,Remittance Service Provider,14-Jul-14,Remittance service provider registration cancelled,AML,Not disclosed,n/a,n/a,https://www.austrac.gov.au/remittance-sector-register-and-remittance-registration-actions,n/a,No,
29,Australia,AUSTRAC,S K Trading (NSW) Pty Ltd,Remittance Service Provider,08-Oct-14,Remittance service provider registration cancelled,AML,Not disclosed,n/a,n/a,https://www.austrac.gov.au/remittance-sector-register-and-remittance-registration-actions,n/a,No,
30,Australia,AUSTRAC,Bisotel Rieh Pty Ltd,Remittance Service Provider,10-Nov-14,Remittance service provider registration cancelled,AML,Not disclosed,n/a,n/a,https://www.austrac.gov.au/remittance-sector-register-and-remittance-registration-actions,n/a,No,
31,Australia,AUSTRAC,AVSForex Pty Ltd,Remittance Service Provider,20-Nov-14,Remittance service provider registration cancelled,AML,Not disclosed,n/a,n/a,https://www.austrac.gov.au/remittance-sector-register-and-remittance-registration-actions,n/a,No,
32,Australia,AUSTRAC,ClassicBet Pty Ltd,Gambling,09-Dec-14,Financial Penalty,AML,Reporting Entity Registration,"10,200",AUD,https://www.austrac.gov.au/sites/default/files/2019-06/classicbet-infringement-notice-signed.pdf,n/a,No,
33,Australia,AUSTRAC,Ocean Pass Finance Pty Ltd,Remittance Service Provider,17-Dec-14,Remittance service provider registration cancelled,AML,Not disclosed,n/a,n/a,https://www.austrac.gov.au/remittance-sector-register-and-remittance-registration-actions,n/a,No,
34,Australia,AUSTRAC,MoneyGram Payment Systems Inc,Remittance Service Provider,19-Dec-14,Financial Penalty,AML,Remittance Service Provider Registration ,"122,400",AUD,https://www.austrac.gov.au/sites/default/files/2019-06/moneygram-infringement-notice-signed.pdf,n/a,No,
35,Australia,AUSTRAC,Billion Trend Forex Pty Ltd,Remittance Service Provider,03-Feb-15,Remittance service provider registration cancelled,AML,Not disclosed,n/a,n/a,https://www.austrac.gov.au/remittance-sector-register-and-remittance-registration-actions,n/a,No,
36,Australia,AUSTRAC,Moazo Pty Ltd,Remittance Service Provider,03-Feb-15,Remittance service provider registration cancelled,AML,Not disclosed,n/a,n/a,https://www.austrac.gov.au/remittance-sector-register-and-remittance-registration-actions,n/a,No,
37,Australia,AUSTRAC,ClassicBet Pty Ltd,Gambling,06-Feb-15,"Remedial Direction
Skilled Person Review",AML,AML program,n/a,n/a,https://www.austrac.gov.au/sites/default/files/2019-06/classicbet-remedial-direction-signed.pdf,n/a,No,
38,Australia,AUSTRAC,MoneyGram Payment Systems Inc,Remittance Service Provider,29-Apr-15,Financial Penalty,AML,Remittance Service Provider Registration ,"336,600",AUD,https://www.austrac.gov.au/sites/default/files/2019-06/moneygram-infringement-notice-2015.pdf,n/a,No,
39,Australia,AUSTRAC,FNF First Nation Finance Pty Ltd,Remittance Service Provider,05-May-15,Remittance service provider registration cancelled,AML,Not disclosed,n/a,n/a,https://www.austrac.gov.au/remittance-sector-register-and-remittance-registration-actions,n/a,No,
40,Australia,AUSTRAC,Canberra Southern Cross Club Ltd,Gambling,18-May-15,Skilled Person Review (Compliance Audit),AML,"Customer due diligence
Ongoing customer due diligence
AML program
Recordkeeping",n/a,n/a,https://www.austrac.gov.au/sites/default/files/2019-06/canberra-southern-cross-club-ltd-section-162-notice.pdf,n/a,No,
41,Australia,AUSTRAC,Estefa Milka Honores (American Cash Service),Remittance Service Provider,26-Aug-15,Remittance service provider registration cancelled,AML,Not disclosed,n/a,n/a,https://www.austrac.gov.au/remittance-sector-register-and-remittance-registration-actions,n/a,No,
42,Australia,AUSTRAC,Sinoaust Pty Ltd,Remittance Service Provider,28-Sep-15,Remittance service provider registration cancelled,AML,Not disclosed,n/a,n/a,https://www.austrac.gov.au/remittance-sector-register-and-remittance-registration-actions,n/a,No,
43,Australia,AUSTRAC,Narinder Singh (trading as Star Link Travel),Remittance Service Provider,15-Dec-15,Remittance service provider registration suspended,AML,Not disclosed,n/a,n/a,https://www.austrac.gov.au/remittance-sector-register-and-remittance-registration-actions,n/a,No,
44,Australia,AUSTRAC,Oakwood Sydney Pty Ltd,Remittance Service Provider,27-Jan-16,Remittance service provider registration cancelled,AML,Not disclosed,n/a,n/a,https://www.austrac.gov.au/remittance-sector-register-and-remittance-registration-actions,n/a,No,
45,Australia,AUSTRAC,Marco Trading Pty Ltd,Remittance Service Provider,18-Mar-16,Remittance service provider registration cancelled,AML,Not disclosed,n/a,n/a,https://www.austrac.gov.au/remittance-sector-register-and-remittance-registration-actions,n/a,No,
46,Australia,AUSTRAC,Narinder Singh (trading as Star Link Travel),Remittance Service Provider,23-Mar-16,Remittance service provider registration cancelled,AML,Not disclosed,n/a,n/a,https://www.austrac.gov.au/remittance-sector-register-and-remittance-registration-actions,n/a,No,
47,Australia,AUSTRAC,Yousif Murad,Remittance Service Provider,12-Apr-16,Remittance service provider registration cancelled,AML,Not disclosed,n/a,n/a,https://www.austrac.gov.au/remittance-sector-register-and-remittance-registration-actions,n/a,No,
48,Australia,AUSTRAC,Forex Sydney Pty Ltd,Remittance Service Provider,11-May-16,Remittance service provider registration suspended,AML,Not disclosed,n/a,n/a,https://www.austrac.gov.au/remittance-sector-register-and-remittance-registration-actions,n/a,No,
49,Australia,AUSTRAC,ToKorea Pty Ltd,Remittance Service Provider,11-May-16,Remittance service provider registration suspended,AML,Not disclosed,n/a,n/a,https://www.austrac.gov.au/remittance-sector-register-and-remittance-registration-actions,n/a,No,
50,Australia,AUSTRAC,Korea Pty. Ltd,Remittance Service Provider,11-May-16,Remittance service provider registration suspended,AML,Not disclosed,n/a,n/a,https://www.austrac.gov.au/remittance-sector-register-and-remittance-registration-actions,n/a,No,
51,Australia,AUSTRAC,Custom House Currency Exchange (Australia) Pty Ltd,Currency Exchange ,25-May-16,Enforceable Undertaking,AML,"AML program
Customer Due Diligence (CDD)
Transaction Reporting
Obligations on third parties
Independent review
Recordkeeping",n/a,n/a,https://www.austrac.gov.au/sites/default/files/2019-06/eu-custom-house-currency-exchange.pdf,n/a,No,
52,Australia,AUSTRAC,Vision Rehoboth Pty Ltd (trading as City Kowon),Remittance Service Provider,30-May-16,Remittance service provider registration suspended,AML,Not disclosed,n/a,n/a,https://www.austrac.gov.au/remittance-sector-register-and-remittance-registration-actions,n/a,No,
53,Australia,AUSTRAC,Forex Sydney Pty Ltd,Remittance Service Provider,09-Jun-16,Remittance service provider registration cancelled,AML,Not disclosed,n/a,n/a,https://www.austrac.gov.au/remittance-sector-register-and-remittance-registration-actions,n/a,No,
54,Australia,AUSTRAC,Korea Pty. Ltd,Remittance Service Provider,09-Jun-16,Remittance service provider registration cancelled,AML,Not disclosed,n/a,n/a,https://www.austrac.gov.au/remittance-sector-register-and-remittance-registration-actions,n/a,No,
55,Australia,AUSTRAC,Mujtaba Musawi,Remittance Service Provider,15-Jun-16,Remittance service provider registration suspended,AML,Not disclosed,n/a,n/a,https://www.austrac.gov.au/remittance-sector-register-and-remittance-registration-actions,n/a,No,
56,Australia,AUSTRAC,SMX Services Pty Ltd,Remittance Service Provider,15-Jun-16,Remittance service provider registration suspended,AML,Not disclosed,n/a,n/a,https://www.austrac.gov.au/remittance-sector-register-and-remittance-registration-actions,n/a,No,
57,Australia,AUSTRAC,Safir Pty Ltd (independent remittance provider),Remittance Service Provider,15-Jun-16,Remittance service provider registration suspended,AML,Not disclosed,n/a,n/a,https://www.austrac.gov.au/remittance-sector-register-and-remittance-registration-actions,n/a,No,
58,Australia,AUSTRAC,Safir Pty Ltd (remittance network provider),Remittance Service Provider,15-Jun-16,Remittance service provider registration suspended,AML,Not disclosed,n/a,n/a,https://www.austrac.gov.au/remittance-sector-register-and-remittance-registration-actions,n/a,No,
59,Australia,AUSTRAC,ToKorea Pty Ltd,Remittance Service Provider,27-Jun-16,Remittance service provider registration cancelled,AML,Not disclosed,n/a,n/a,https://www.austrac.gov.au/remittance-sector-register-and-remittance-registration-actions,n/a,No,
60,Australia,AUSTRAC,Vision Rehoboth Pty Ltd,Remittance Service Provider,29-Jun-16,Remittance service provider registration cancelled,AML,Not disclosed,n/a,n/a,https://www.austrac.gov.au/remittance-sector-register-and-remittance-registration-actions,n/a,No,
61,Australia,AUSTRAC,SMX Services Pty Ltd,Remittance Service Provider,29-Jul-16,Remittance service provider registration cancelled,AML,Not disclosed,n/a,n/a,https://www.austrac.gov.au/remittance-sector-register-and-remittance-registration-actions,n/a,No,
62,Australia,AUSTRAC,Mujtaba Musawi,Remittance Service Provider,29-Jul-16,Remittance service provider registration suspended,AML,Not disclosed,n/a,n/a,https://www.austrac.gov.au/remittance-sector-register-and-remittance-registration-actions,n/a,No,
63,Australia,AUSTRAC,Safir Pty Ltd (independent remittance provider),Remittance Service Provider,29-Jul-16,Refusal to renew remittance service provider registration,AML,Not disclosed,n/a,n/a,https://www.austrac.gov.au/remittance-sector-register-and-remittance-registration-actions,n/a,No,
64,Australia,AUSTRAC,Safir Pty Ltd,Remittance Service Provider,29-Jul-16,Remittance service provider registration cancelled,AML,Not disclosed,n/a,n/a,https://www.austrac.gov.au/remittance-sector-register-and-remittance-registration-actions,n/a,No,
65,Australia,AUSTRAC,Mujtaba Musawi,Remittance Service Provider,29-Aug-16,Remittance service provider registration suspended,AML,Not disclosed,n/a,n/a,https://www.austrac.gov.au/remittance-sector-register-and-remittance-registration-actions,n/a,No,
66,Australia,AUSTRAC,Mujtaba Musawi,Remittance Service Provider,11-Oct-16,Remittance service provider registration cancelled,AML,Not disclosed,n/a,n/a,https://www.austrac.gov.au/remittance-sector-register-and-remittance-registration-actions,n/a,No,
67,Australia,AUSTRAC,"Tab Ltd, Tabcorp Holdings Ltd, and 
Tabcorp Wagering (Vic) Pty Ltd",Gambling,16-Mar-17,Financial Penalty,AML,"AML program
STR reporting 
Reporting Entity Registration
Customer identification","45,000,000",AUD,https://www.judgments.fedcourt.gov.au/judgments/Judgments/fca/single/2017/2017fca1296,NSD 852 of 2015,No,
68,Australia,AUSTRAC,Abdullah Mosawi,Remittance Service Provider,23-Oct-17,Remittance service provider registration cancelled,AML,Not disclosed,n/a,n/a,https://www.austrac.gov.au/remittance-sector-register-and-remittance-registration-actions,n/a,No,
69,Australia,AUSTRAC,Wiky Australia Pty Ltd,Remittance Service Provider,05-Apr-18,Remittance service provider registration suspended,AML,Not disclosed,n/a,n/a,https://www.austrac.gov.au/remittance-sector-register-and-remittance-registration-actions,n/a,No,
70,Australia,AUSTRAC,Commonwealth Bank of Australia,Financial Services,20-Jun-18,Financial Penalty,AML,"AML program
Transaction monitoring
Threshold transaction reporting
STR reporting","700,000,000",AUD,https://www.judgments.fedcourt.gov.au/judgments/Judgments/fca/single/2018/2018fca0930,NSD 1305 of 2017,No,
71,Australia,AUSTRAC,Treasure Chest Trading Pty Ltd,Remittance Service Provider,06-Dec-18,Remittance service provider registration cancelled,AML,Not disclosed,n/a,n/a,https://www.austrac.gov.au/remittance-sector-register-and-remittance-registration-actions,n/a,No,
72,Australia,AUSTRAC,Ghadir Group Pty Ltd,Remittance Service Provider,06-Dec-18,Remittance service provider registration cancelled,AML,Not disclosed,n/a,n/a,https://www.austrac.gov.au/remittance-sector-register-and-remittance-registration-actions,n/a,No,
73,Australia,AUSTRAC,Easy Bitcoin Trading Pty Ltd,Remittance Service Provider,17-Dec-18,Remittance service provider registration refused,AML,Not disclosed,n/a,n/a,https://www.austrac.gov.au/remittance-sector-register-and-remittance-registration-actions,n/a,No,
74,Australia,AUSTRAC,EASY BITCOIN TRADING PTY LTD,Virtual Assets Service Provider,17-Dec-18,VASP registration refused,AML,Not disclosed,n/a,n/a,https://www.austrac.gov.au/digital-currency-exchange-provider-registration-actions,n/a,,
75,Australia,AUSTRAC,THE GOLD BUYING COMPANY PTY. LTD.,Virtual Assets Service Provider,04-Jan-19,VASP registration refused,AML,Not disclosed,n/a,n/a,https://www.austrac.gov.au/digital-currency-exchange-provider-registration-actions,n/a,No,
76,Australia,AUSTRAC,JWON1 PTY LTD,Virtual Assets Service Provider,13-Feb-19,VASP registration refused,AML,Not disclosed,n/a,n/a,https://www.austrac.gov.au/digital-currency-exchange-provider-registration-actions,n/a,No,
77,Australia,AUSTRAC,Sun Exchange & Jewellery Pty Ltd,Remittance Service Provider,17-Apr-19,Refusal to renew remittance service provider registration,AML,Not disclosed,n/a,n/a,https://www.austrac.gov.au/remittance-sector-register-and-remittance-registration-actions,n/a,No,
78,Australia,AUSTRAC,The Wisdom Gold 1992 Pty Ltd,Remittance Service Provider,26-Apr-19,Remittance service provider registration cancelled,AML,Not disclosed,n/a,n/a,https://www.austrac.gov.au/remittance-sector-register-and-remittance-registration-actions,n/a,No,
